name,email,phone,experience,skills,keyword_count,found_keywords,is_relevant,file_name
Orla Murphy,omurphy@eircom.net,089 981 3935,"Ordinary Bachelor Degree in Human Resources, University College Dublin (2022)","• food presentation
• health and safety
• fast-paced environment
• multitasking
• allergen awareness
• food safety
• problem-solving
• menu knowledge
• inventory management
• scheduling
• Team Leadership
• Fluent English
• Basic Irish
• Social Media
REFERENCES
References available upon request",6,"cook, customer service, kitchen, team member, food preparation, kfc",True,Irish_CV_087.pdf
Jack O'Doherty,doherty@yahoo.com,087 414 7695,"Master of Science in Mathematics, Dublin Institute of Technology (Currently studying)","Master of Science in Mathematics, Dublin Institute of Technology (Currently studying)",6,"cook, fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_093.pdf
Patrick O'Connell,connell@yahoo.com,086 353 7429,"Higher Certificate in Mathematics, Limerick Institute of Technology (Currently studying)
Bachelor of Arts in Marketing, Dublin Institute of Technology (2018)","Higher Certificate in Mathematics, Limerick Institute of Technology (Currently studying)
Bachelor of Arts in Marketing, Dublin Institute of Technology (2018)",6,"cook, fast food, burger king, customer service, kitchen, food preparation",True,Irish_CV_078.pdf
Orla Hughes,orlah@gmail.com,086 813 0700,"Leaving Certificate in English, National University of Ireland, Galway (2018)","Leaving Certificate in English, National University of Ireland, Galway (2018)",3,"cook, mcdonald's, team member",True,Irish_CV_044.pdf
Emily Doherty,emilydoherty@eircom.net,085 342 3827,"Ordinary Bachelor Degree in Communications, Letterkenny Institute of Technology (Currently studying)
Honours Bachelor Degree in Hotel Management, Dublin City University (2017)","• HACCP
• customer service
• health and safety
• food hygiene
• fast-paced environment
• multitasking
• Event Planning
• Team Leadership
• Social Media
• Basic Irish
REFERENCES
References available upon request",6,"fast food, customer service, kitchen, team member, food preparation, drive-thru",True,Irish_CV_050.pdf
James Lynch,jamesl@yahoo.com,089 746 4018,"Bachelor of Arts in Computer Science, University College Dublin (2017)","Bachelor of Arts in Computer Science, University College Dublin (2017)",2,"kitchen, food preparation",True,Irish_CV_051.pdf
Emily Healy,healy.emily@outlook.com,089 273 5686,"Bachelor of Commerce in Computer Science, National University of Ireland, Galway (2016)","• menu knowledge
• food safety
• teamwork
• fast-paced environment
• customer service
• food preparation
• time management
• food hygiene
• HACCP
• problem-solving
• Event Planning
• Sales
• Social Media
REFERENCES
References available upon request",6,"fast food, customer service, kitchen, server, food preparation, drive-thru",True,Irish_CV_045.pdf
Cillian Lynch,cillianl@hotmail.com,086 360 2056,"Higher Diploma in Tourism, National University of Ireland, Galway (2018)","Higher Diploma in Tourism, National University of Ireland, Galway (2018)",2,"cook, customer service",True,Irish_CV_079.pdf
Ella Smith,smith.ella@hotmail.com,086 016 2123,"Master of Business Administration in Psychology, Trinity College Dublin (2024)","Master of Business Administration in Psychology, Trinity College Dublin (2024)",5,"fast food, customer service, kitchen, server, food preparation",True,Irish_CV_092.pdf
Sarah Quinn,sarah.quinn@outlook.com,083 457 4119,"Higher Certificate in Business, Waterford Institute of Technology (2015)
Master of Science in Information Technology, Waterford Institute of Technology (2023)","Higher Certificate in Business, Waterford Institute of Technology (2015)
Master of Science in Information Technology, Waterford Institute of Technology (2023)",5,"cook, fast food, customer service, kitchen, food preparation",True,Irish_CV_086.pdf
Conor Connolly,conorc@yahoo.com,087 179 9533,"Bachelor of Commerce in Computer Science, National College of Ireland (2019)
Bachelor of Engineering in Languages, Dublin City University (2022)","Bachelor of Commerce in Computer Science, National College of Ireland (2019)
Bachelor of Engineering in Languages, Dublin City University (2022)",2,"customer service, kitchen",True,Irish_CV_060.pdf
Eoin Quinn,equinn@yahoo.com,089 355 5625,"Higher Diploma in Languages, National College of Ireland (2023)
PhD in English, Waterford Institute of Technology (2019)","Higher Diploma in Languages, National College of Ireland (2023)
PhD in English, Waterford Institute of Technology (2019)",6,"cook, fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_074.pdf
Liam O'Reilly,reilly@yahoo.com,085 767 7002,"Bachelor of Science in Sociology, Trinity College Dublin (2023)","Bachelor of Science in Sociology, Trinity College Dublin (2023)",5,"cook, cashier, kitchen, server, team member",True,Irish_CV_048.pdf
James O'Connor,connor@yahoo.com,087 835 8128,"Bachelor of Engineering in Communications, Letterkenny Institute of Technology (2017)
Bachelor of Arts in English, Institute of Technology Carlow (2021)","• food preparation
• conflict resolution
• cooking
• menu knowledge
• allergen awareness
• order taking
• food hygiene
• inventory management
• teamwork
• Google Workspace
• Marketing
• Fluent English
• Social Media",7,"cook, fast food, customer service, cashier, kitchen, shift manager, food preparation",True,Irish_CV_049.pdf
Niamh Quinn,nquinn@gmail.com,086 113 4218,"Bachelor of Business Studies in Computer Science, Institute of Technology Carlow (2019)
Master of Arts in Finance, Galway-Mayo Institute of Technology (2019)","Bachelor of Business Studies in Computer Science, Institute of Technology Carlow (2019)
Master of Arts in Finance, Galway-Mayo Institute of Technology (2019)",3,"cook, kitchen, team member",True,Irish_CV_075.pdf
Aisling Brennan,abrennan@yahoo.com,087 231 9570,"Honours Bachelor Degree in Languages, University College Dublin (Currently studying)
Bachelor of Science in Psychology, University of Limerick (2018)","Honours Bachelor Degree in Languages, University College Dublin (Currently studying)
Bachelor of Science in Psychology, University of Limerick (2018)",4,"kitchen, server, team member, shift manager",True,Irish_CV_061.pdf
Cillian Smith,cillians@outlook.com,086 761 6800,"Bachelor of Business Studies in Human Resources, Cork Institute of Technology (2024)","Bachelor of Business Studies in Human Resources, Cork Institute of Technology (2024)",5,"cook, restaurant, kitchen, team member, kfc",True,Irish_CV_088.pdf
Orla O'Connor,connor.orla@yahoo.com,087 287 6552,"Higher Certificate in Languages, Dublin City University (2015)","Higher Certificate in Languages, Dublin City University (2015)",3,"server, team member, food preparation",True,Irish_CV_077.pdf
Emma Johnston,emma.johnston@yahoo.com,087 292 8243,"Higher Certificate in Information Technology, Institute of Technology Sligo (2024)","Higher Certificate in Information Technology, Institute of Technology Sligo (2024)",6,"cook, mcdonald's, customer service, kitchen, team member, shift manager",True,Irish_CV_063.pdf
Eimear O'Brien,brien@gmail.com,086 986 2113,"Honours Bachelor Degree in Computer Science, Dublin City University (2019)
Bachelor of Science in Food Science, University College Dublin (2016)","Honours Bachelor Degree in Computer Science, Dublin City University (2019)
Bachelor of Science in Food Science, University College Dublin (2016)",2,"customer service, kitchen",True,Irish_CV_062.pdf
Grace Nolan,gnolan@yahoo.com,089 398 0673,"Bachelor of Commerce in Culinary Arts, University of Limerick (2022)","Bachelor of Commerce in Culinary Arts, University of Limerick (2022)",1,team member,False,Irish_CV_076.pdf
Ava Gallagher,agallagher@gmail.com,083 637 8172,"Bachelor of Arts in Computer Science, Maynooth University (2020)","Bachelor of Arts in Computer Science, Maynooth University (2020)",2,"customer service, restaurant",True,Irish_CV_089.pdf
James Doyle,jamesdoyle@hotmail.com,085 396 7035,"Ordinary Bachelor Degree in Arts, Dublin City University (2018)
Bachelor of Arts in Languages, National College of Ireland (2018)","Ordinary Bachelor Degree in Arts, Dublin City University (2018)
Bachelor of Arts in Languages, National College of Ireland (2018)",5,"fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_099.pdf
Liam O'Connor,connor@hotmail.com,089 236 3699,"Higher Diploma in Hotel Management, Griffith College Dublin (2017)
PhD in Psychology, Dundalk Institute of Technology (2020)","• health and safety
• customer service
• stock rotation
• cash handling
• cleaning
• Google Workspace
• Social Media
• Event Planning
REFERENCES
References available upon request",7,"fast food, mcdonald's, customer service, cashier, kitchen, team member, food preparation",True,Irish_CV_072.pdf
Orla McLoughlin,omcloughlin@outlook.com,086 447 6627,"Ordinary Bachelor Degree in Business, University College Dublin (2019)
PhD in Psychology, Waterford Institute of Technology (2022)","Ordinary Bachelor Degree in Business, University College Dublin (2019)
PhD in Psychology, Waterford Institute of Technology (2022)",5,"fast food, customer service, kitchen, food preparation, drive-thru",True,Irish_CV_066.pdf
Noah Fitzgerald,nfitzgerald@yahoo.com,089 282 4512,"Bachelor of Arts in Mathematics, Cork Institute of Technology (Currently studying)","Bachelor of Arts in Mathematics, Cork Institute of Technology (Currently studying)",7,"cook, fast food, customer service, kitchen, team member, shift manager, food preparation",True,Irish_CV_067.pdf
Sean Collins,sean.collins@eircom.net,083 519 8238,"Ordinary Bachelor Degree in Computer Science, Dublin Business School (2019)
Advanced Certificate in Finance, Technological University Dublin (2020)","Ordinary Bachelor Degree in Computer Science, Dublin Business School (2019)
Advanced Certificate in Finance, Technological University Dublin (2020)",6,"fast food, mcdonald's, customer service, kitchen, team member, food preparation",True,Irish_CV_073.pdf
Sean McLoughlin,smcloughlin@gmail.com,087 507 8739,"Master of Business Administration in Human Resources, Dublin City University (2018)
Leaving Certificate in Tourism, National University of Ireland, Galway (Currently studying)","Master of Business Administration in Human Resources, Dublin City University (2018)
Leaving Certificate in Tourism, National University of Ireland, Galway (Currently studying)",2,"kitchen, food preparation",True,Irish_CV_098.pdf
Ciara Clarke,ciarac@eircom.net,087 106 1987,"Higher Diploma in Tourism, University College Cork (2024)
Honours Bachelor Degree in Marketing, University College Cork (2017)","Higher Diploma in Tourism, University College Cork (2024)
Honours Bachelor Degree in Marketing, University College Cork (2017)",2,"cook, kitchen",True,Irish_CV_059.pdf
Aoife Murray,aoifem@hotmail.com,089 151 1217,"Honours Bachelor Degree in English, Trinity College Dublin (2015)
Ordinary Bachelor Degree in Arts, Maynooth University (2022)","Honours Bachelor Degree in English, Trinity College Dublin (2015)
Ordinary Bachelor Degree in Arts, Maynooth University (2022)",5,"fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_065.pdf
Siobhan McLoughlin,siobhanmcloughlin@gmail.com,083 230 6804,"Higher Certificate in Tourism, University of Limerick (Currently studying)
PhD in Culinary Arts, Dundalk Institute of Technology (2019)","Higher Certificate in Tourism, University of Limerick (Currently studying)
PhD in Culinary Arts, Dundalk Institute of Technology (2019)",1,server,False,Irish_CV_071.pdf
Orla Moran,orla.moran@gmail.com,085 831 8020,"Bachelor of Science in Computer Science, University of Limerick (Currently studying)","Bachelor of Science in Computer Science, University of Limerick (Currently studying)",7,"fast food, mcdonald's, customer service, kitchen, server, team member, food preparation",True,Irish_CV_070.pdf
Emily Kelly,emily.kelly@icloud.com,089 423 9535,"Bachelor of Commerce in Communications, Dublin Business School (2015)
Master of Business Administration in Information Technology, Maynooth University (2015)","Bachelor of Commerce in Communications, Dublin Business School (2015)
Master of Business Administration in Information Technology, Maynooth University (2015)",4,"mcdonald's, kitchen, food preparation, drive-thru",True,Irish_CV_064.pdf
Sophie McLoughlin,sophiemcloughlin@hotmail.com,085 658 6783,"Master of Science in Accounting, University College Cork (2019)
Bachelor of Science in Information Technology, Cork Institute of Technology (2020)","Master of Science in Accounting, University College Cork (2019)
Bachelor of Science in Information Technology, Cork Institute of Technology (2020)",1,kfc,False,Irish_CV_058.pdf
Cillian Moore,cillian.moore@eircom.net,083 284 3547,"Master of Arts in Accounting, Galway-Mayo Institute of Technology (Currently studying)","Master of Arts in Accounting, Galway-Mayo Institute of Technology (Currently studying)",2,"kitchen, team member",True,Irish_CV_003.pdf
Sean Collins,collins.sean@eircom.net,086 818 2447,"Higher Certificate in Food Science, National College of Ireland (2019)","Higher Certificate in Food Science, National College of Ireland (2019)",2,"cook, team member",True,Irish_CV_017.pdf
Noah Boyle,noah.boyle@eircom.net,089 934 9877,"Bachelor of Commerce in Information Technology, Technological University Dublin (2019)
Bachelor of Engineering in Tourism, University College Cork (2016)","Bachelor of Commerce in Information Technology, Technological University Dublin (2019)
Bachelor of Engineering in Tourism, University College Cork (2016)",5,"fast food, customer service, kitchen, shift manager, food preparation",True,Irish_CV_016.pdf
Grace McCarthy,gmccarthy@gmail.com,087 300 1371,"Master of Arts in Computer Science, Griffith College Dublin (2020)","Master of Arts in Computer Science, Griffith College Dublin (2020)",1,food preparation,False,Irish_CV_002.pdf
Aisling Connolly,aislingc@outlook.com,083 732 7916,"Advanced Certificate in Psychology, Waterford Institute of Technology (Currently studying)
Bachelor of Commerce in Tourism, Institute of Technology Sligo (2022)","Advanced Certificate in Psychology, Waterford Institute of Technology (Currently studying)
Bachelor of Commerce in Tourism, Institute of Technology Sligo (2022)",5,"fast food, customer service, kitchen, team member, food preparation",True,Irish_CV_014.pdf
Ava Doherty,avadoherty@yahoo.com,087 341 6789,"Master of Arts in Arts, National University of Ireland, Galway (Currently studying)","Master of Arts in Arts, National University of Ireland, Galway (Currently studying)",6,"cook, fast food, mcdonald's, customer service, kitchen, food preparation",True,Irish_CV_028.pdf
Sarah O'Doherty,doherty@yahoo.com,089 397 9621,"Master of Science in Food Science, University College Dublin (2016)","• cooking
• food safety
• multitasking
• inventory management
• teamwork
• stock rotation
• cleaning
• cash handling
• food presentation
• fast-paced environment
• Team Leadership
• Sales
• Social Media
REFERENCES
References available upon request",9,"cook, fast food, customer service, restaurant, kitchen, server, team member, food preparation, kfc",True,Irish_CV_029.pdf
Seamus Nolan,seamusnolan@outlook.com,083 249 1298,"Higher Diploma in Marketing, Institute of Technology Sligo (2023)
Bachelor of Science in Human Resources, Limerick Institute of Technology (2024)","Higher Diploma in Marketing, Institute of Technology Sligo (2023)
Bachelor of Science in Human Resources, Limerick Institute of Technology (2024)",4,"cook, kitchen, team member, food preparation",True,Irish_CV_001.pdf
